Program,Function,Count,CPU%,Mem%,IO(MB/s),Time(s)
progA,cpu,2,124.8,0,0.0273437,6.966
progA,cpu,3,93.45,0,0.0153198,8.167
progA,cpu,4,93.6667,0,0.0151693,6.336
progA,cpu,5,87.2,0,0.000966797,8.286
progA,mem,2,96.1,5.6,0.000976562,7.683
progA,mem,3,60.2,4.2,0.015625,5.682
progA,mem,4,91.4667,5.6,0.0117188,6.732
progA,mem,5,94.9,5.6,0,6.885
progA,io,2,32.6182,0,47.4834,21.925
progA,io,3,42.34,0,50.7556,19.539
progA,io,4,28.3727,0,45.664,22.646
progA,io,5,31.22,0,56.9095,22.128
progB,cpu,2,95.45,0,0.0937499,6.633
progB,cpu,3,93.175,0,0.00574462,8.091
progB,cpu,4,91.4333,0,0.00128906,6.369
progB,cpu,5,88.625,0,0.0243555,6.490
progB,cpu,6,93.9333,0,0.0273437,6.404
progB,cpu,7,90.9,0,0.00992187,6.556
progB,cpu,8,93.9333,0,0,6.387
progB,mem,2,93.9333,5.6,0.0167578,5.282
progB,mem,3,93.775,5.6,0.0105396,7.641
progB,mem,4,96.9667,5.6,0,7.061
progB,mem,5,90.9,5.6,0.0169271,6.778
progB,mem,6,88.3667,5.6,0.0232324,5.072
progB,mem,7,90.9,5.6,0.00390627,6.858
progB,mem,8,100.3,5.6,0.0154427,6.591
progB,io,2,37.3,0,57.5824,17.507
progB,io,3,37.6,0,69.9034,18.079
progB,io,4,40.225,0,70.7859,18.052
progB,io,5,35.12,0,53.5604,22.025
progB,io,6,38.1,0,72.3619,15.449
progB,io,7,33.6111,0,55.9763,16.787
progB,io,8,30.17,0,56.1612,21.284
